,Date,Open,High,Low,Close,Adj Close,Volume
0,Jan 31 2022,13.20,13.20,12.95,13.05,13.05,4497
1,Jan 28 2022,13.20,13.20,12.95,13.05,13.05,5303
2,Jan 27 2022,13.05,13.20,12.95,13.05,13.05,5538
3,Jan 26 2022,13.25,13.25,12.95,13.05,13.05,6805
4,Jan 25 2022,13.25,13.25,13.05,13.05,13.05,1968
5,Jan 24 2022,13.05,13.25,12.80,13.05,13.05,4949
6,Jan 21 2022,13.20,13.20,12.90,13.15,13.15,1374
7,Jan 20 2022,13.25,13.25,12.95,13.15,13.15,915
8,Jan 19 2022,13.15,13.25,12.95,13.25,13.25,9522
9,Jan 18 2022,13.10,13.15,12.85,13.15,13.15,16265
10,Jan 17 2022,13.20,13.20,12.95,13.05,13.05,12703
11,Jan 14 2022,13.25,13.25,12.90,13.05,13.05,16823
12,Jan 13 2022,13.30,13.30,13.10,13.15,13.15,9242
13,Jan 12 2022,13.35,13.35,13.10,13.20,13.20,6786
14,Jan 11 2022,13.30,13.30,13.20,13.20,13.20,2532
15,Jan 10 2022,13.15,13.30,13.15,13.30,13.30,683
16,Jan 07 2022,13.25,13.35,13.15,13.15,13.15,3059
17,Jan 06 2022,13.30,13.30,13.10,13.15,13.15,4074
18,Jan 05 2022,13.30,13.30,13.15,13.25,13.25,2362
19,Jan 04 2022,13.35,13.35,13.10,13.20,13.20,5024
20,Jan 03 2022,13.35,13.35,13.25,13.30,13.30,2203
21,Dec 31 2021,13.35,13.40,13.35,13.35,13.35,1340
22,Dec 30 2021,13.35,13.35,13.20,13.35,13.35,3932
23,Dec 29 2021,13.10,13.30,13.10,13.30,13.30,2357
24,Dec 28 2021,13.05,13.25,13.05,13.10,13.10,4236
25,Dec 27 2021,13.10,13.25,13.05,13.05,13.05,1818
26,Dec 24 2021,13.30,13.30,12.95,13.10,13.10,5346
27,Dec 23 2021,13.20,13.25,13.10,13.25,13.25,2553
28,Dec 22 2021,13.30,13.30,13.10,13.15,13.15,5122
29,Dec 21 2021,13.40,13.40,13.20,13.30,13.30,867
30,Dec 20 2021,13.40,13.40,13.20,13.40,13.40,1093
31,Dec 17 2021,13.50,13.50,13.20,13.40,13.40,4770
32,Dec 16 2021,13.30,13.55,13.30,13.35,13.35,1255
33,Dec 15 2021,13.40,13.40,13.20,13.20,13.20,1828
34,Dec 14 2021,13.40,13.45,13.30,13.30,13.30,950
35,Dec 13 2021,13.45,13.45,13.30,13.40,13.40,526
36,Dec 10 2021,13.45,13.45,13.30,13.45,13.45,1015
37,Dec 09 2021,13.45,13.45,13.30,13.45,13.45,826
38,Dec 08 2021,13.50,13.50,13.25,13.25,13.25,2014
39,Dec 07 2021,13.50,13.50,13.25,13.50,13.50,1608
40,Dec 06 2021,13.45,13.50,13.40,13.50,13.50,345
41,Dec 03 2021,13.45,13.45,13.20,13.35,13.35,7356
42,Dec 02 2021,13.55,13.55,13.20,13.25,13.25,4501
43,Dec 01 2021,13.45,13.50,13.20,13.50,13.50,3478
44,Nov 30 2021,13.35,13.40,13.25,13.40,13.40,468
45,Nov 29 2021,13.60,13.60,13.40,13.40,13.40,830
46,Nov 26 2021,13.80,13.85,13.40,13.50,13.50,765
47,Nov 25 2021,13.60,13.90,13.60,13.65,13.65,1713
48,Nov 24 2021,13.65,13.75,13.65,13.65,13.65,768
49,Nov 23 2021,13.50,13.70,13.40,13.65,13.65,3360
50,Nov 22 2021,13.30,13.50,13.30,13.50,13.50,2504
51,Nov 19 2021,13.45,13.50,13.30,13.30,13.30,1369
52,Nov 18 2021,13.50,13.50,13.35,13.45,13.45,3375
53,Nov 17 2021,13.35,13.50,13.35,13.50,13.50,3084
54,Nov 16 2021,13.40,13.50,13.20,13.40,13.40,4084
55,Nov 15 2021,13.60,13.60,13.45,13.45,13.45,1412
56,Nov 12 2021,13.60,13.60,13.40,13.55,13.55,342
57,Nov 11 2021,13.40,13.60,13.40,13.60,13.60,448
58,Nov 10 2021,13.55,13.65,13.40,13.45,13.45,2778
59,Nov 09 2021,13.50,13.55,13.40,13.55,13.55,556
60,Nov 08 2021,13.40,13.50,13.30,13.50,13.50,1810
61,Nov 05 2021,13.35,13.55,13.35,13.50,13.50,830
62,Nov 04 2021,13.60,13.70,13.50,13.50,13.50,182
63,Nov 03 2021,13.35,13.70,13.35,13.35,13.35,4921
64,Nov 02 2021,13.45,13.45,13.30,13.45,13.45,1180
65,Nov 01 2021,13.55,13.55,13.20,13.40,13.40,6405
